ID;BIRTHDATE;AGE;SSN;DRIVERS;PASSPORT;PREFIX;SUFFIX;MAIDEN;MARITAL;GENDER;ADDRESS;DESCRIPTION
660bec03-9e58-47f2-98b9-2f1c564f3838;1996-07-26;28;999-70-3315;S99945940;false;Ms.;;;;F;20810 Bart Inlet Eastham MA 02642 US;Whiplash injury to neck
5125d2b2-3aef-4ae2-aa5c-335f7e206b92;1996-09-24;28;999-89-6289;S99991246;false;Ms.;;;;F;295 Walter Mill Dennis MA 02638 US;Perennial allergic rhinitis with seasonal variation
26626faf-cbd5-48d5-a3bf-a7b21ae08e4b;1944-09-01;71;999-79-2204;S99913823;X19963891X;Mr.;;;M;M;23401 Gerhold Fords Eastham MA 02642 US;Brain damage - traumatic
f509a0f0-77ef-477f-977d-e2784a241b52;1964-05-14;46;999-70-3377;S99930834;false;Mrs.;;Green619;M;F;55368 Suzanne Viaduct Barnstable MA 02630 US;Suspected lung cancer (situation)
8be2ce98-4bdd-4f50-b119-0e83811fc73a;1933-09-23;46;999-49-5173;S99929827;false;Mrs.;;Stamm279;M;F;818 Abshire Crescent Apt. 229 Eastham MA 02642 US;Chronic sinusitis (disorder)
eed62b4a-1099-47ec-a2ac-d953830b44d6;1965-08-05;59;999-93-3738;S99976729;false;Mr.;;;M;M;626 Mitchell Prairie Suite 301 Brewster MA 02631 US;Hypertension
6e9f8b3e-5a21-401e-868d-2d62e0e7f452;1979-11-03;45;999-93-5171;S99927177;X29737332X;Mrs.;;Hirthe52;M;F;603 Mathilde Skyway Barnstable MA 02630 US;Chronic sinusitis (disorder)
7fcadc56-5964-418c-9e15-889c62f5df0b;1972-03-18;52;999-63-2584;S99911708;X38681918X;Mr.;;;M;M;41045 Joyce Rapids Eastham MA 02642 US;Chronic sinusitis (disorder)
27deaf6b-21a5-4622-9db3-b4c754c4002d;1965-12-24;59;999-12-2818;S99964787;X53358555X;Mrs.;;Haley553;M;F;4516 Rohan Rue Dennis MA 02638 US;Osteoarthritis of knee
3235f125-eadc-47a4-a639-fa764dcb803c;1975-08-14;49;999-41-5472;S99948344;X64257970X;Mr.;;;M;M;89739 Veum Corner Apt. 874 Eastham MA 02642 US;Chronic sinusitis (disorder)
8e7dc04c-6c23-4d3c-8e4a-4e9996c9f299;1946-08-02;55;999-46-5989;S99927425;X82875644X;Mr.;;;M;M;66970 Hoeger View Suite 349 Eastham MA 02642 US;Suspected lung cancer (situation)
30a43f2a-351b-4647-a7cf-69d39b17b5ca;1999-03-14;25;999-13-4980;S99971989;;Ms.;;;;F;998 Hodkiewicz Springs Apt. 608 Eastham MA 02642 US;Whiplash injury to neck
d8de9d90-3a96-4ee5-a750-d406ee10e18a;2006-11-04;18;999-57-1911;;;;;;;M;9193 Lueilwitz Shoals Apt. 635 Dennis MA 02638 US;Concussion with no loss of consciousness
4a3f4ce1-5396-49b4-8e52-78ed3923d838;1943-03-27;81;999-60-1020;S99991425;false;Mrs.;;Wunsch254;M;F;94762 Toni Green Apt. 311 Chatham MA 02633 US;Diabetes
8fb96675-9205-4334-96fc-ea4a1158252e;1968-05-26;56;999-68-5362;S99919231;false;Mrs.;;Yost319;M;F;3088 Lacey Stravenue Brewster MA 02631 US;Hypertension
755cdf65-0d6d-4d54-8f2a-b03df82d0d40;1956-04-18;68;999-94-6462;S99925013;X91170615X;Ms.;;;S;F;248 Parker Trail Apt. 124 Eastham MA 02642 US;Hypertension
a9ab78d8-9615-4cb6-8659-0576137640b4;1964-10-30;60;999-67-8011;S99957266;X44766526X;Mr.;;;M;M;426 O'Reilly Cove Apt. 955 Eastham MA 02642 US;Prediabetes
946ece55-1dd0-4b15-9532-55b9e59f1f91;1952-06-20;64;999-19-5063;S99957228;X66081819X;Mrs.;;Nienow887;M;F;9688 Sigrid Mills Eastham MA 02642 US;Laceration of forearm
37035f78-d20d-4ba9-a8f3-2e5f9098d395;1966-05-14;22;999-64-2871;S99963834;false;Ms.;;;;F;170 Armstrong Vista Apt. 727 Chatham MA 02633 US;Atopic dermatitis
5c636b19-8730-4f6f-b178-5d67c03cb234;1965-04-04;59;999-21-1789;S99999803;X81705377X;Ms.;;;S;F;1389 Leone Falls Apt. 447 Eastham MA 02642 US;Hypertension
121fefcc-167d-4dd1-919c-0563b96354e6;1964-03-04;60;999-95-1719;S99978822;false;Mr.;;;M;M;9194 Yundt Fork Eastham MA 02642 US;Prediabetes
6c471486-c22f-4415-9108-859ea24ababa;1945-12-01;57;999-43-4907;S99919741;false;Ms.;;;S;F;4587 Murphy Ports Apt. 196 Eastham MA 02642 US;Chronic sinusitis (disorder)
2a628f42-a134-429c-8adb-db10d02bd104;1963-09-12;61;999-70-4602;S99914103;X22835989X;Mrs.;;Williamson583;M;F;372 Lexie Mission Apt. 288 Eastham MA 02642 US;Normal pregnancy
29c2f206-8def-428d-8568-5d86a4554fde;1948-06-05;76;999-54-6657;S99982540;false;Mrs.;;Dickinson336;M;F;885 Burley Grove Eastham MA 02642 US;Hypertension
367867a9-9534-42de-a4cd-701155203122;1946-11-15;68;999-88-3560;S99953910;false;Mr.;;;M;M;370 Khalil Forest Bourne MA 02532 US;Coronary Heart Disease
bc8becc4-0218-406f-8851-56a6edeebc3d;1948-07-29;76;999-33-3818;S99984292;false;Mrs.;;Beer324;M;F;320 Jones Manor Eastham MA 02642 US;Whiplash injury to neck
111230c1-dd22-48bb-a432-52116b69dd55;1946-10-18;69;999-58-1799;S99914935;false;Mr.;;;M;M;4591 Heaney Lodge Eastham MA 02642 US;Hypertension
e166a6d2-34e3-4005-abd4-bfdaa9428fbd;1961-10-12;54;999-84-1414;S99911376;false;Mrs.;;Gusikowski964;M;F;18815 Kihn Turnpike Eastham MA 02642 US;Hypertension
fc3c9158-2a28-49bf-852b-ad71a8fdbac0;1950-03-27;62;999-84-2975;S99926405;false;Mr.;;;M;M;9743 McGlynn Spur Eastham MA 02642 US;Suspected lung cancer (situation)
b2e7d419-d24d-414d-a85d-61bee78c29f7;1958-09-12;66;999-56-9062;S99953539;X24136295X;Mrs.;;Marquardt624;M;F;96286 Mathilde Village Eastham MA 02642 US;Hypertension
c6eefb5b-3330-4f01-96d5-484cf468de32;1946-10-10;14;999-58-9145;;;;;;;M;91864 Rachael Burgs Apt. 780 Eastham MA 02642 US;Coronary Heart Disease
25a3de57-c371-438c-9a83-4ba79d5df2a8;1966-12-09;58;999-34-1384;S99999572;false;Mrs.;;Monahan893;M;F;80101 Morar Shoals Suite 780 Eastham MA 02642 US;Prediabetes
683abd1c-43be-4e96-95dd-75059699b89e;1980-08-21;44;999-67-8857;S99966511;X42943038X;Mrs.;;Treutel576;M;F;321 Kerluke Walk Dennis MA 02638 US;Hypertension
ede350e5-0ec6-4527-ae52-b436aa73ec3b;1944-12-22;80;999-50-9232;S99971208;false;Mr.;;;M;M;8515 Berge Hills Suite 578 Eastham MA 02642 US;Prediabetes
d3f0304c-4a0c-4131-8368-63262e1ee1a8;1933-02-25;83;999-75-2425;S99932013;X35887455X;Mrs.;;Ryan407;M;F;9872 Pedro Oval Suite 384 Eastham MA 02642 US;Prediabetes
46a690fd-0e49-4e79-a7ea-aaa3d93de82d;2010-08-02;14;999-71-4028;;;;;;;M;8214 Arturo Place Suite 783 Eastham MA 02642 US;Viral sinusitis (disorder)
